aX,aY,aZ,gX,gY,gZ
-2.903,-2.100,2.928,28.442,689.697,-52.856
-3.221,-1.624,1.205,25.757,890.869,7.874

-2.724,-1.020,-1.198,12.390,985.535,58.411
-2.102,-0.754,-2.213,15.381,953.247,71.350
-1.326,-0.507,-3.087,-3.296,867.126,62.927
-0.727,-0.421,-3.986,-4.578,726.868,37.842
-0.097,-0.343,-3.999,-45.105,489.502,1.404
0.339,-0.420,-3.389,-35.278,228.943,-36.377
0.437,-0.734,-2.435,4.700,-1.709,-70.190
0.256,-1.061,-1.288,10.620,-176.819,-86.426
0.273,-1.163,-0.157,7.935,-282.471,-71.594
0.092,-1.197,0.650,39.856,-315.002,-37.964
0.063,-1.146,1.309,43.640,-317.688,-8.789
0.038,-1.077,1.755,57.068,-286.316,19.836
0.083,-0.983,1.997,62.012,-233.765,44.800
0.044,-0.845,2.056,61.523,-165.649,63.843
0.028,-0.689,1.996,53.162,-97.046,74.280
0.034,-0.526,1.813,40.710,-31.677,73.547
0.053,-0.408,1.542,23.804,24.780,62.805
0.076,-0.359,1.199,-0.366,71.899,43.945
0.104,-0.374,0.850,-25.574,104.919,22.278
0.133,-0.438,0.545,-41.443,119.568,1.404
0.169,-0.536,0.313,-49.194,117.554,-16.052
0.177,-0.651,0.124,-49.133,102.905,-28.137
0.213,-0.773,0.046,-45.227,76.172,-33.569
0.220,-0.893,0.054,-37.231,42.480,-31.555
0.215,-0.988,0.162,-25.085,7.996,-21.606
0.206,-1.025,0.348,-6.165,-22.827,-4.395
0.186,-1.000,0.547,18.738,-47.852,17.273
0.157,-0.925,0.720,42.358,-64.697,39.185
0.135,-0.831,0.866,59.631,-74.707,57.068
0.118,-0.731,0.979,72.266,-78.369,70.740
0.107,-0.628,1.060,81.360,-77.454,80.261
0.103,-0.538,1.114,87.036,-72.266,84.473
0.096,-0.468,1.140,88.257,-63.293,83.069
0.092,-0.416,1.127,85.632,-50.903,76.904
0.090,-0.391,1.080,78.003,-36.926,66.101
0.097,-0.404,1.012,65.796,-23.621,51.880
0.110,-0.458,0.940,50.964,-12.329,36.621
0.118,-0.527,0.859,35.645,-3.357,23.315
0.115,-0.593,0.776,23.743,2.930,14.343
0.110,-0.660,0.714,16.052,6.348,8.301
0.115,-0.722,0.675,11.169,6.104,5.188
0.122,-0.780,0.661,8.362,3.723,4.944
0.134,-0.825,0.658,7.690,0.793,7.812
0.144,-0.836,0.646,8.423,-1.343,14.282
0.154,-0.804,0.614,11.230,-2.441,22.644
0.163,-0.752,0.586,15.930,-4.395,30.457
0.170,-0.697,0.578,20.020,-8.423,35.400
0.178,-0.653,0.584,21.179,-12.878,37.048
0.169,-0.607,0.600,20.325,-16.785,36.987
0.152,-0.547,0.625,23.071,-20.447,36.682
0.142,-0.497,0.671,26.001,-23.987,33.386
0.145,-0.480,0.732,23.254,-25.757,24.902
0.146,-0.507,0.783,16.357,-24.048,13.184
0.153,-0.560,0.806,10.559,-19.470,2.563
0.163,-0.606,0.813,-2.258,-12.817,-5.371
0.169,-0.636,0.781,-16.235,-5.432,-11.353
0.166,-0.653,0.721,-27.832,0.244,-15.442
0.168,-0.676,0.652,-36.011,3.723,-18.677
0.165,-0.713,0.584,-39.490,4.211,-20.874
0.156,-0.764,0.515,-34.790,1.343,-21.545
0.146,-0.826,0.459,-31.311,-3.418,-20.996
0.140,-0.882,0.413,-31.921,-10.193,-18.860
0.130,-0.920,0.408,-34.790,-19.775,-13.977
0.126,-0.954,0.418,-34.119,-31.616,-6.531
0.118,-0.961,0.449,-26.855,-44.922,4.639
0.097,-0.923,0.507,-10.376,-59.937,20.874
0.076,-0.841,0.608,12.634,-75.562,38.452
0.058,-0.742,0.734,33.813,-87.952,52.979
0.043,-0.646,0.854,44.067,-94.238,61.096
0.034,-0.568,0.949,45.105,-93.384,62.500
0.026,-0.517,1.016,39.734,-87.158,58.044
0.021,-0.489,1.056,32.166,-77.576,50.293
0.021,-0.481,1.072,24.475,-65.613,40.527
0.024,-0.489,1.065,17.517,-53.406,30.701
0.025,-0.513,1.038,11.902,-41.748,21.667
0.031,-0.549,1.001,7.141,-31.799,14.404
0.038,-0.592,0.958,2.441,-23.254,8.850
0.045,-0.629,0.910,-1.160,-16.174,5.798
0.047,-0.651,0.866,-1.526,-11.780,5.493
0.046,-0.657,0.831,1.038,-9.583,7.019
0.043,-0.661,0.817,3.845,-9.216,8.667
0.042,-0.667,0.814,5.249,-9.277,9.460
0.041,-0.674,0.810,5.066,-8.667,9.705
0.040,-0.684,0.805,3.052,-7.141,9.460
0.056,-0.669,0.836,4.761,-5.676,9.644
0.036,-0.674,0.840,11.414,-3.418,9.399
0.057,-0.667,0.806,6.226,2.441,9.033
0.057,-0.648,0.768,3.906,5.859,8.972
-0.053,-0.661,0.782,3.723,5.920,9.216
0.149,-0.663,0.805,7.568,2.197,9.827
0.044,-0.620,0.717,3.296,7.935,11.902
0.036,-0.617,0.703,1.099,6.714,9.888
0.073,-0.618,0.748,1.526,1.953,6.775
0.055,-0.629,0.763,2.258,2.197,3.845
0.066,-0.648,0.766,-1.526,3.784,1.160
0.063,-0.666,0.749,-5.066,4.333,-0.427
0.061,-0.677,0.731,-7.996,4.272,-0.244
0.065,-0.687,0.718,-7.263,3.479,0.854
0.069,-0.694,0.715,-4.639,1.709,2.502
0.070,-0.691,0.723,-1.709,-0.427,4.883
0.072,-0.677,0.741,1.282,-2.380,7.385
0.077,-0.657,0.760,4.272,-3.418,9.766
0.082,-0.633,0.772,6.348,-3.479,11.230
0.083,-0.608,0.772,6.653,-2.869,11.658
0.084,-0.586,0.767,6.042,-2.197,10.620
0.084,-0.573,0.764,4.883,-1.831,8.301
0.085,-0.568,0.764,3.662,-1.648,5.066
0.086,-0.581,0.768,2.197,-1.343,1.160
0.086,-0.607,0.775,0.000,-0.671,-2.441
0.086,-0.637,0.774,-1.648,0.488,-4.639
0.086,-0.659,0.759,-2.319,2.014,-5.371
0.083,-0.678,0.745,-2.441,2.869,-5.249
0.080,-0.691,0.736,-1.831,2.441,-4.639
0.080,-0.701,0.736,-0.977,1.587,-3.662
0.079,-0.707,0.743,0.366,0.427,-2.563
0.081,-0.707,0.754,1.953,-0.061,-0.854
0.082,-0.697,0.757,4.028,-0.183,1.160
0.087,-0.684,0.758,5.493,0.061,2.869
0.089,-0.669,0.755,5.615,0.427,3.601

-0.863,-1.909,-0.275,-141.907,294.250,-119.080
-0.973,-2.009,-0.185,-201.721,298.401,-129.395
-1.074,-1.989,-0.070,-249.756,295.898,-128.418
-1.244,-2.115,-0.099,-306.213,308.899,-140.991
-1.367,-2.481,-0.185,-372.131,322.083,-164.673
-1.365,-2.838,-0.198,-386.047,301.086,-145.142
-1.154,-3.163,-0.129,-328.491,261.597,-70.190
-0.927,-3.335,-0.057,-221.863,213.074,63.477
-0.915,-3.272,-0.070,-92.285,163.452,244.934
-0.971,-2.539,-0.008,49.133,114.075,460.571
-1.115,-1.478,0.083,207.642,46.448,685.608
-1.748,-0.388,0.105,329.529,-26.733,883.972
-2.937,0.793,0.194,501.282,-128.540,1058.472
-3.979,1.935,0.443,829.956,-313.599,1211.121
-4.000,2.896,1.562,1156.433,-598.511,1345.459
-4.000,3.218,3.126,1409.546,-926.941,1228.943
-4.000,3.394,4.000,1260.193,-1200.012,928.772
-4.000,3.508,4.000,893.921,-1217.896,626.404
-3.396,3.671,4.000,578.064,-948.486,358.093
-2.471,3.580,4.000,350.525,-440.125,136.719
-2.633,2.786,4.000,164.429,108.093,-76.599
-2.634,1.547,4.000,-32.166,434.998,-275.757
-1.999,0.941,2.793,-70.190,611.755,-369.629
-2.205,0.418,1.133,-74.341,766.907,-429.260
-2.172,-0.090,-0.259,-94.116,823.547,-486.694
-1.990,-0.527,-1.264,-135.742,793.945,-523.071
-1.831,-1.027,-1.929,-162.109,730.896,-568.420
