aX,aY,aZ,gX,gY,gZ
-0.516,-2.446,-0.643,76.111,-2.441,265.137
-0.460,-2.503,-0.391,58.411,-28.198,292.664
-0.464,-2.439,-0.202,29.114,-40.588,324.829
-0.471,-2.311,-0.082,-5.981,-39.734,354.736
-0.453,-2.212,0.062,-39.551,-36.987,376.648
-0.430,-2.171,0.100,-69.885,-31.372,393.677
-0.425,-2.065,0.053,-96.252,-22.400,409.912
-0.453,-1.852,0.028,-111.572,-15.869,427.856
-0.454,-1.559,-0.019,-120.056,-11.780,444.763
-0.393,-1.228,-0.024,-120.544,-13.672,455.078
-0.280,-0.968,-0.039,-115.845,-16.968,455.444
-0.166,-0.845,-0.085,-110.046,-16.418,448.364
-0.098,-0.773,-0.073,-103.638,-15.015,439.453
-0.052,-0.690,-0.073,-95.703,-14.465,434.143
-0.024,-0.543,-0.115,-87.097,-16.113,432.678
-0.004,-0.346,-0.180,-78.918,-21.729,430.420
0.033,-0.206,-0.223,-69.336,-31.860,424.194
0.058,-0.122,-0.278,-56.824,-44.006,415.955
0.018,0.004,-0.210,-44.250,-59.326,408.081
0.018,0.195,-0.180,-32.715,-73.914,400.330
0.045,0.352,-0.138,-16.663,-88.745,387.573
0.083,0.472,-0.116,1.648,-105.530,368.958
0.084,0.593,-0.014,16.113,-120.483,345.703
0.100,0.630,0.056,28.320,-131.042,317.078
0.134,0.617,0.091,41.138,-140.564,292.114
0.134,0.587,0.158,53.040,-153.503,275.696
0.107,0.625,0.309,61.035,-166.260,264.587
0.115,0.666,0.386,63.965,-168.396,250.061
0.162,0.657,0.436,60.852,-164.673,232.300
0.043,0.680,0.527,60.974,-161.621,213.440
0.096,0.690,0.579,48.035,-156.494,191.528
0.132,0.705,0.644,38.391,-148.315,173.035
0.140,0.711,0.704,31.799,-138.428,155.090
0.153,0.713,0.753,22.705,-126.648,137.817
0.165,0.719,0.783,14.404,-112.549,122.925
0.186,0.730,0.798,9.033,-97.961,109.924
0.217,0.729,0.809,5.493,-85.083,98.145
0.238,0.721,0.815,0.977,-73.425,88.440
0.254,0.716,0.806,-1.831,-62.378,80.261
0.277,0.737,0.809,-1.404,-53.162,73.486
0.300,0.777,0.807,-1.465,-46.204,66.589
0.328,0.786,0.811,-1.709,-40.894,57.312
0.356,0.782,0.824,-0.122,-36.438,48.096
0.380,0.796,0.838,3.418,-33.020,39.795
0.409,0.801,0.851,6.348,-30.090,31.189
0.436,0.788,0.869,7.935,-27.161,21.606
0.458,0.751,0.867,8.179,-23.682,11.841
0.474,0.686,0.859,6.897,-20.935,2.380
0.489,0.624,0.859,5.920,-19.226,-4.578
0.515,0.564,0.852,5.676,-17.944,-9.338
0.538,0.448,0.831,4.517,-16.357,-12.756
0.557,0.336,0.837,3.113,-15.442,-13.306
0.574,0.279,0.850,2.747,-14.648,-9.399
0.585,0.272,0.857,1.343,-12.695,-3.784
0.596,0.294,0.862,-0.916,-9.399,0.671
0.609,0.338,0.856,-2.563,-5.981,4.578
0.610,0.394,0.850,-2.686,-3.235,6.897
0.613,0.447,0.847,-1.648,-0.244,7.141
0.615,0.487,0.832,0.610,3.662,5.005
0.620,0.499,0.804,3.174,7.812,0.977
0.619,0.480,0.777,4.700,11.230,-3.906
0.616,0.446,0.743,6.104,13.550,-8.789
0.615,0.403,0.710,7.935,15.137,-12.512
0.617,0.344,0.671,9.521,15.747,-14.465
0.617,0.283,0.635,10.254,15.320,-14.465
0.617,0.254,0.618,10.925,13.306,-12.329
0.614,0.245,0.617,11.292,10.498,-9.155
0.608,0.248,0.622,10.193,7.812,-6.226
0.607,0.258,0.631,8.240,5.493,-4.211
0.610,0.273,0.645,6.348,3.906,-2.747
0.608,0.306,0.651,4.700,3.296,-1.099
0.611,0.338,0.650,3.357,2.991,-0.488
0.615,0.345,0.654,2.441,2.686,-1.282
0.616,0.348,0.657,2.136,2.502,-2.197
0.619,0.349,0.653,2.441,2.808,-2.502
